id,title,url,curator,Notes/comments/questions,Map territory,Close to,logo image url,homepage image url,description,key concepts,methods,locations,start,end,main sector,sector 2,sector 3 ,main activity,activity 2 ,activity 3 ,size,learning resources,connections,key people,theory of change,,,,,status
institut-des-futurs-souhaitables,Institut des Futurs souhaitables,https://www.futurs-souhaitables.org/,Catherine,,Metacrisis,,https://drive.google.com/file/d/1d9kMr3UHio8zvmeOe6C-CJ-Z0Ko4LXmv/view?usp=drive_link,https://drive.google.com/file/d/1R5yZ_Ibl8f87cp6hejP4Re6Cjv7YTS0k/view?usp=drive_link,"""In this period of metamorphosis, the Institute of Desirable Futures wishes to seize this opportunity to invent a more desirable world.

We do this through training courses, tailor-made support and public activities, providing you with keys to understanding the present, as well as creative fuel to help build the new world on the horizon with kindness and goodwill.""
Translated from: https://www.futurs-souhaitables.org/ ",,,"Paris, France",2011,present,"Environment, Food & Water",Economics & Business,,Education & Training,Events & Retreats,,11-20,,,,,,,,,✅
integral-green-slovenia,Integral Green Slovenia,https://integralna-zelena-slovenija.si/en/,Catherine,"Their framework integrates: Science & Technology; Economy, Finance & Enterprise; Culture & Consciousness/Spirituality; and Nature & Community. Latest news on the site is from 2022... so not sure whether currently active?. Some of their stuff seems more economic systems and sustainable development focused, but some seems more fully integral",Integral,,https://drive.google.com/file/d/1Ualmwyt1fguUfmE6dZX4o5Jh314rBILG/view?usp=drive_link,https://drive.google.com/file/d/1-6YmUZmTwKHFJ3NWxf5Nj3Pm_rBJlI2Y/view?usp=drive_link,"""The Citizens’ Initiative for an Integral Green Slovenia, founded in April 2013 by a group of distinguished Slovenian experts and led by Dr. Darja Piciga, is a pan-Slovenian and non-partisan initiative for a wholesome life in the internationally respected community of Slovenia. [...]

The Initiative for an Integral Green Slovenia is based on the conviction that by building on the country’s potentials for all four integral economic paths (i.e., self-sufficient community-based economy, developmental culture-based economy, social knowledge based economy and “living” life-based economy) and fundamental values underlying its cultural heritage, we have the opportunity, in both theory and practice, to co-evolve a knowledge-and-value based economy and sustainable society that can serve as a pilot case for the integral green approach at a time when Europe is seeking to develop a smart (knowledge-based), sustainable and inclusive society and economy.""
https://integralna-zelena-slovenija.si/en/ ",,Integral,Slovenia,2013,,Economics & Business,,,Research,Convening & Coordination,,,,,,,,,,,✅
action-research-plus,Action Research Plus,https://actionresearchplus.com/,Catherine,3. IFIS is one of founding orgs. Use language of metamodernist transition. ,Metamodern,,https://drive.google.com/file/d/1Z_aVU-cxmn6d609RbLv0S3TSW3zB_hQj/view?usp=drive_link,https://drive.google.com/file/d/1xcClALIkqqcv_1HFUOmF-dpkq32soDoW/view?usp=drive_link,"""AR+ supports a global community, online and face to face, so that  action-oriented scholar practitioners find community and developmental support in responding to the call of our times. 

We believe that our global social-ecological challenges (crises) demand a new context for scholarships of all kinds. In supporting ART Action-oriented Research for Transformation AR+ offers specific resources such as coaching, co-labs, curriculum, workshops, so that fellow (feral?) scholar-practitioners may find what's next for them in their self- and community developmental evolution. 

AR+ is unusual for our emphasis on practice. For example, all our co-lab efforts are designed to encourage new experiments for re-weaving activist, artistic and scientific dimensions of knowledge creation. The value of participating in this loosely knit global community is that we learn, cross-pollinate and amplify innovative efforts.""",,adult development; relational meditation; sociocracy; action research; participatory research,USA; Global,2008,present,Education & Learning,,,Research,Events & Retreats,,4-10,https://actionresearchplus.com/ar-resources/,Founding organisations include: IFIS and World Ethic Forum,,"In their own organisation, they attempt to cultivate a transformative relational space and practise sociocracy",,,,,✅
international-federation-for-systems-research,International Federation for Systems Research,https://ifsr.org/,Catherine,"6. believe we need new ways of thinking to respond to the challenges of the Anthropocene but systems/outer focus. Propose new territory: systems thinking/complexity/polycrisis. See map territories tab. could almost be metacrisis, but it's more polycrisis - looking at the interconnected crises but not so much deeper cultural/spiritual core",,,https://drive.google.com/file/d/1Cg7UEIRKXHeeB10zCZqhvFU8SwrLIPn-/view?usp=drive_link,https://drive.google.com/file/d/1OWTu6alXxWGGr2LXjfNvUcm6hkZW14NP/view?usp=drive_link,"""The IFSR is representing 30+ organizations with 30,000+ systems scientists and practicioners.""

""The International Federation for Systems Research (IFSR) is the peak body of the systems community. It is a virtual platform that convenes and facilitates the rich academic tradition not only but primarily of system sciences, cybernetics and complexity theory as a basis and the many vivid practices and applications set out to meet the challenges of the Anthropocene in the 21st century.""
https://ifsr.org/ ",,systems thinking; cybernetics; complexity theory,"Vienna, Austria",1981,present,Science & Technology,Economics & Business,Governance & Community,Convening & Coordination,,,11-20,,,,,,,,,✅
collaborative-for-bioregional-action-learning-&-transformation-(cobalt),Collaborative for Bioregional Action Learning & Transformation (COBALT),https://cobaltlearningjourney.com/,Catherine,5. learning journeys to deepen sense of place,Regenerative Alternatives,,https://drive.google.com/file/d/1-vvpa-0f603pub3Wro3KzGGM23jtyNSH/view?usp=drive_link,https://drive.google.com/file/d/1dN5VbvmFwZyrYfZIyocqlbtFm8AOJ0xk/view?usp=drive_link,"""COBALT is an IRS designated 501(c)3 tax-exempt foundation operating in Maine. COBALT is an acronym for the Collaborative for Bioregional Action Learning & Transformation. This is a global group focused on developing pathways for a more just, equitable and regenerative future on our planet in the face of massive social and ecological change. We are closely aligned and separate from SustainaMetrix team that has been conducting collaborative work in coastal communities across the globe for over 20 years including in the Arctic, Europe, Africa, Pacific Island, Caribbean, Latin America and North America.""",,,"Maine, USA; Global",not found,present,"Environment, Food & Water",,,Education & Training,Research,"Design, Development & Innovation",,,,,"See ""COBALT: In Service to the Great Transformation"" for an outline of the paradigm change they seek: https://cobaltlearningjourney.com/about/ ",,,,,✅
academy-for-systems-change,Academy for Systems Change,https://www.academyforchange.org/,Catherine,2. see definition of systems change in theory of change notes. hard to pick a sector...,Metacrisis,,https://drive.google.com/file/d/1Bu_f5hDQhE0zUNBzuiuEinLUHWwE5wJC/view?usp=drive_link,https://drive.google.com/file/d/1Bu_f5hDQhE0zUNBzuiuEinLUHWwE5wJC/view?usp=drive_link,"""The Academy for Systems Change is a nonprofit organization focused on advancing the field of awareness-based systemic change in order to accelerate ecological, social, and economic well-being.""",,work of Donella Meadows,not found,not found,present,Governance & Community,"Environment, Food & Water",Economics & Business,Education & Training,,,1-3,"Great, free comprehensive online resource - A System Leader's Fieldbook: https://www.systemsfieldbook.org/",,,"How they understand systems change: ""Systems change is inherently an “inner” and “outer” process or journey. This work involves deep shifts in paradigms, mental models, relational practices, and taken-for-granted ways of operating, as much as it involves shifts in organizational structures, metrics, goals, policies, and procedures. Because of this, we believe that the development of self is foundational. This inner work – which involves developing awareness, compassion, and analysis – also extends to teams, networks, organizations, and ultimately to the larger systems within which we work.""",,,,,✅
unity-effect,Unity Effect,https://www.unityeffect.net/,Catherine,4. supporting changemakers to develop inner capacities,Ownership & Governance,,https://drive.google.com/file/d/1qw0HH082k4YkTZT5je-6j-PtXWa-2qCC/view?usp=drive_link,https://drive.google.com/file/d/1gz5-nACYWpQ9ZG2Yu46lrWFD-Hp_mrWo/view?usp=drive_link,"""We are a social enterprise who works with a network of freelancers, guided by our purpose of leading from the inside out. Our team structures are based on principles of self-organisation, shared leadership, transparency and continuous learning. In our team culture as well as our collaborations, we value showing up as whole humans, in balance with efficient and effective work. We work in English and German.

Since 2017, we’ve been working together with purpose-driven leaders, organisations, foundations and networks who are contributing to a more sustainable, just and thriving world. Some are building their own companies, others are intrapreneurs making an impact within purpose-driven organisations, foundations and networks, while others are about to begin their journey towards purposeful work.""
https://www.unityeffect.net/about-us ",,,"Bonn, Germany",2017,present,Governance & Community,Relations & Peace,,Education & Training,Consulting & Advisory,,4-10,Some good resources here on topics including regenerative impact evaluation; collective decision-making; team culture; and purposeful leadership: https://www.unityeffect.net/resources ,,,,,,,,✅
collapse-club,Collapse Club,https://www.collapseclub.com/,Catherine,"4. regular free online meetings ""Bringing people together to share their experience of collapse and to cultivate communal wisdom."" Deep Adaptation online meetings ",Deep Adaptation,,https://drive.google.com/file/d/19atqw_hpeSQUHu3FsQO8KpY04VjIgHec/view?usp=drive_link,https://drive.google.com/file/d/1LJoiZzVMLxVce__B-PQ1YZ5-b8oZBKN-/view?usp=drive_link,"""How are we to live in the time of collapse?

Do you feel alone and isolated with your knowledge of collapse? Do your family and friends not understand what you're seeing and feeling? In a Collapse Club meeting, you will join like-minded people in a safe, structured space to discuss your concerns about our world’s converging crises. [...]

We hold three meetings per week, on Wednesday, Thursday, and Saturday. You are welcome at any or all. Meetings are free and without obligation.""
https://www.collapseclub.com/ 

""Collapse Club is...

Regular Zoom Meetings: Bringing people together to share their experience of collapse and to cultivate communal wisdom. (See our Meetings page.)

An Online Community: Providing continuing connection and ongoing dialogue among members. (Visit our Facebook Group.)

An Expanding Collection of Wisdom: Exploring beneficial ways to live in the time of collapse. We share these ideas in our Member Stories.""
https://www.collapseclub.com/about ",,,"Seattle, USA; Global/Online",not found,present,Health & Wellbeing,Relations & Peace,,Community Spaces,Events & Retreats,,4-10,Their main offering is weekly free online meetings for emotional support and social connection arounf the topic of systems collapse,,,,,,,,✅
cocreation-foundation,Cocreation Foundation,https://cocreation-foundation.org/,Catherine,4. focused on developing processes and capacities for co-creation. ,Ownership & Governance,,https://drive.google.com/file/d/16Z_EboFpIYQ-BuuJ5bRJujSUDeR7R9md/view?usp=drive_link,https://drive.google.com/file/d/1QhKlyrROyteRty_A-G8aA4jcPmwSjaFw/view?usp=drive_link,"""The Cocreation Foundation is a think and do tank to understand, forward and prototype cocreation as a cultural technique to tackle the global challenges of our time.

Moving through the great transformation, we strive to design new code for a cocreative global governance.

It is our conviction that we need this new governance code to face the challenge of cocreating a world for 10-12 billion people living in peace, freedom and ecological abundance on this earth.""
https://cocreation-foundation.org/ ",,,"Berlin, Germany",not found,present,Governance & Community,,,Research,"Design, Development & Innovation",,4-10,,,,See their Theory of Change: https://cocreation-foundation.org/allgemein/theory-of-change/ and Mission Statement: https://cocreation-foundation.org/mission-statement/ ,,,"A new ""cultural technique"" -- ""cocreation"", understood as: 
""Cocreation is fundamentally diverse and multi-faceted, it allows for and encourages diverse logics, standpoints and solutions. It is an integral and pluralistic practice. The new quality of solutions will reveal itself in being manifold, adoptive, evolutionary and generative. These solutions will be developed, owned and cared for by diverse human and morethan-human communities. The Cocreation Foundation believes that our survival and that of the earth in positive coexistence is a question of learning and developing this cultural technique of deep cocreation. And with deep cocreation we mean not just humans being creative together. It means being creative in the context of the world we are living in, it means being informed and inspired by the world around us, it means immersing into a dynamic process of all that is, to find solutions that do not only work for some of us, but for all of us and our non-human kin alike.""",,✅
naia-trust,Naia Trust,https://www.naiatrust.com/#hero,Catherine,3. One of their strands of funding is Human Consciousness & Sacred Ecology and they have an internal research project entitled Earth Consciousness in the Polycrisis,Metacrisis,,https://drive.google.com/file/d/1IFT3GIujQHtv2YdZscqM5GmWHJwmxhqY/view?usp=drive_link,https://drive.google.com/file/d/18EedOcBcVliE4wC-3r8xzSyG-StKXjub/view?usp=drive_link,"""Founded in 2024, Naia Trust is a steward of capital committed to serving economic, cultural and spiritual renewal during a time of great transformation.

We are funded by individuals and families moved by the urgency of our times and who are committed to employing approaches that are unconventional, catalytic, worldview-inspired and in service to all life. Naia Trust grew out of years of work initiated by Ground Effect, honoring and continuing its legacy.""
https://www.naiatrust.com/about 

""Naia Trust is an animist steward of capital dedicated to creating the conditions on Earth for all beings to thrive. Our mission is to reunify humans as “nature” and to advance a worldview of interbeing.

Naia Trust invests with a philosophy: with every flow of capital, we enquire as to whether it may bring those it touches into a meaningful, engaged and potentially enchanting relationship with the more-than-human-world.

We are passionate about equipping human and ecological communities with inner and outer resilience, empowering them to live in dignity and act with agency within the context of the current polycrisis. This could manifest in qualities such as regenerative agricultural systems, thriving exuberances of biodiversity, the advancement of  scientific knowledge, empowered local governance systems, innovative jurisprudence models, and poetic spaces to breathe and heal.

It pains us to bear witness to the widening fault lines and rifts in our society; the ‘othering’ that arises from a psychology that perceives duality between self and world; the multiple planetary boundaries that we are treacherously exceeding; and underneath this all, a profound estrangement of humanity from a living, sentient and sacred Earth.

Yet amidst times of great upheaval rests extraordinary potential. The world is pregnant with narratives waiting to be written. Our hope is rooted in an active engagement with the world, despite unknowable outcomes. We believe that what is ours to do is to help foster islands of coherence, tangible and embodied existence proofs that sow the seeds of cultures to come.""
https://www.naiatrust.com/#hero ",,Animism; Interbeing,Switzerland,2024,present,"Environment, Food & Water",Governance & Community,Spirituality & Religion,Funding,Media & Publishing,,4-10,Podcasts and articles: https://www.naiatrust.com/thoughts#hero ,,"Alexa Firmenich, Founder and Principal",,,,,,✅
feytopia,Feytopia,https://feytopia.com/,Catherine,,Intentional Community,,https://drive.google.com/file/d/1_3mdFPWiR1QpmW71528MZ8S_Lr8iKdyv/view?usp=drive_link,https://drive.google.com/file/d/1pUIGSelQcA48cbfAxlScksXqZtr_6HFJ/view?usp=drive_link,"""An extitutional community prototyping the world of tomorrow. 

Feÿtopia is a collective of artists, entrepreneurs, activists, academics and technologists, drawn together by our desire to experiment with the way we live, work and play. 

Our home is Château du Feÿ, in Burgundy, France.""
https://feytopia.com/ ",,,"Villecien, France",2020,present,Governance & Community,Arts & Culture,,Community Spaces,Art Production & Curation,Events & Retreats,,,,,,,,,,✅
the-emergent-phenomenology-research-consortium,The Emergent Phenomenology Research Consortium,https://theeprc.org/,Catherine,,Spiritual & Contemplative Traditions,Psychedelics,https://drive.google.com/file/d/1gwhYkLxwWcL7Vw9_IefRKFlB3fx_7kc4/view?usp=drive_link,https://drive.google.com/file/d/1fJhcfsmjmaMw6sr7P8by_1-VHUQjyAAy/view?usp=drive_link,"""The Emergent Phenomenology Research Consortium (EPRC) is a multidisciplinary, multinational alliance of researchers, clinicians, and patrons who share a vision of bringing scientific methods and clinical sensibilities to the rigorous, ethical, ontologically-agnostic study of emergent phenomena.""
https://theeprc.org/executive-summary/ 

""What many might call “spiritual”, “mystical”, “energetic”, etc. experiences and effects, we refer to as emergent phenomena. We refer to practices designed to lead to emergent phenomena, such as meditation, psychedelics, yoga, prayer, etc., as emergent practices.

As emergent practices continue to scale up in society, our aim is to give health care systems, mental health providers, and those who are helping to teach and promote various practices the information they need in order to make better decisions about how to both promote the benefits of these practices and manage the various effects that they can produce. [...]

By finding the skilfull overlap of the perspectives of science, spirituality, religion, clinical medicine, and mental health, we can generate outcomes that are as beneficial as possible for all concerned.""
https://theeprc.org/",,,USA; Global,2020,present,Spirituality & Religion,Science & Technology,Health & Wellbeing,Research,Advocacy & Activism,,101+,Emergence Research database (contains a selection of hundreds of scientific books and articles on Emergence from a variety of perspectives): https://www.zotero.org/ebresearch/collections/TAKNGM64/items/LDQSGSB2/item-list ,,,,,,,,✅
sociedad-española-de-sistemas-generales-(sesge),Sociedad Española de Sistemas Generales (SESGE),https://sesge.org/,Catherine,"Not sure what territory... would fit in a new "" Systems Thinking/Complexity/Polycrisis land in the Outer Lands of the East.""",,,https://drive.google.com/file/d/18zS7B7OO6bljyRKcrCVWCwp4LkpUIbo_/view?usp=drive_link,https://drive.google.com/file/d/1ysh38cxjrRIdVJbIgZ5b3iwI6722AxpE/view?usp=drive_link,"""The Spanish Society of General Systems is a non-profit society that was founded in 1980 to be a national benchmark for Systemics and a meeting point for the different sectors of society (Social, Political, Economic, Military, Educational, etc. .), to address the problems of the 21st century, through the design and application of new models.

Current human conflicts require a new paradigm for their solution. The outdated concepts of the 20th century and previous centuries are no longer valid. The design and implementation of new models for the 21st century is urgent, required by the end of the cycle that we must address.

Systemic Thinking based on General Systems Theory and the analysis of Complex Systems is our response for the elaboration of Models that are needed to govern this change.

Since its foundation, the Spanish Society of General Systems has been a forum and tribune for Spanish systemists within the Spanish University. SESGE wants to add to its objectives the incorporation of students and scholars who wish to participate in the practical application of systemic thinking to social, economic and business problems that we must address without delay.""
https://sesge.org/en/sesge/presentation.html ",,systems thinking,"Madrid, Spain",1980,present,Science & Technology,Economics & Business,Governance & Community,Research,,,11-20,,,,,,,,,✅
mind-foundation,MIND Foundation,https://mind-foundation.org/,Catherine,focused on psychedelic research,Psychedelics,,https://drive.google.com/file/d/1bkKHd7uS2BH1gItvMBFneRJs8j83sWCf/view?usp=drive_link,https://drive.google.com/file/d/1ormIVA9AwZO-QcAMd_mOwj1Sme9PPyXV/view?usp=drive_link,"""The MIND Foundation envisions a healthier, more connected world through evidence-based, safe, and legal applications of the psychedelic experience.

- We support and conduct high-quality psychedelic research.
- We translate science into everyday language to support people in living healthy and meaningful lives.
- We work with policymakers to create safe and legal environments for the psychedelic experience.
- We train professionals and educate the public on psychedelic treatments, integration, evidence-based harm reduction, and human development.
- We encourage communities to build beneficial, knowledge-based, and risk-aware attitudes around psychedelics.

The MIND Foundation is a European non-profit registered under German law (HRB 220247 B). [...]

At the MIND Foundation, we navigate the intersection of human development, mental health, and sustainability through a unique framework anchored in the concept of Bewusstseinskultur, or ""culture of consciousness."" This approach, developed by neurophilosopher Thomas Metzinger, blends critical thinking, meditation, and psychedelic practices into a practical ethos for individual and societal transformation. 

In order to place psychedelics in the center of society, we strongly believed that we had to pursue the medical model, hence becoming a key partner in Europe’s largest psilocybin study for treatment resistant depression (TRD) and opening Germany’s first augmented psychotherapy clinic. 

Now, our goal is to cultivate human flourishing by connecting psychological well-being with sociocultural progress.""

https://www.mind-foundation.org/about/who-we-are ",,,"Berlin, Germany",2016,present,Health & Wellbeing,Spirituality & Religion,,Research,Education & Training,Government & Policymaking,4-10,,,,,,,,,✅
association-for-natural-medicine-in-europe,Association for Natural Medicine in Europe,https://www.anme-ngo.eu/en/anme/about-us/aims-functions.html,Catherine,8. not super obviously 2R but treating health in a holistic way (people and planet health intertiwned) and preserving different cultures and traditions and forms of knowledge when it comes to health and wellbeing. not sure whether territory should be regenerative alternatives or personal healing... since it's about health but not necessarily primarily inner dimension,Regenerative Alternatives,,https://drive.google.com/file/d/1UJDF6mQQ2ye0dkjh8QV0H3BZ_-YsJ_X-/view?usp=drive_link,https://drive.google.com/file/d/1A4GgdxTOIK_4zpj2ajwou_doyafSS7Cn/view?usp=drive_link,"""The Association for Natural Medicine in Europe e.V. (ANME) operates as a democratic, non-governmental organization. Our mission is based on preserving intangible cultural heritage (ICH), and we are committed to a multi-faceted, interdisciplinary approach to health and health-related politics and dialogue via both national and inter-European engagement.

ANME works on behalf of complementary and alternative medicine and traditional naturopathy (CAM) in Europe. We encourage education, discussion, and action to aid in the continued and increased access to CAM. ANME focuses on the well-being of humans and animals, and we do so with an interest to also maintain, sustain, and improve the safety of and standards for our environment, medicines, and planet.""
https://www.anme-ngo.eu/en/anme/about-us/aims-functions.html ",,Traditional European Medicine; Anthroposophy,Germany,2001,present,Health & Wellbeing,,,Advocacy & Activism,Research,Education & Training,11-20,,,,,,,,,✅
teilhard-de-chardin-centre,Teilhard de Chardin Centre,https://centreteilharddechardin.fr/en/accueil-english/,Catherine,5. territory: wisdom or spiritual and contemplative ?,Wisdom,,https://drive.google.com/file/d/1R0YHRsWOhppM8RqYPEhfu_EeC5XKsTaE/view?usp=drive_link,https://drive.google.com/file/d/1vZ9xRuElvXIQKQmwcD7NdHHE1D614gtg/view?usp=drive_link,"""The Teilhard de Chardin Centre, opened in June 2023 in the heart of the technological and scientific center of Saclay, is a unique and innovative project carried out jointly by the Society of Jesus and the dioceses of Evry Corbeil-Essonnes, Paris, Nanterre and Versailles. It offers a space for meeting and dialogue to reflect on scientific and technological developments from a philosophical, ethical and spiritual point of view.

To contribute to kinship in a world confronted with complex and sometimes conflicting issues, the raison d'être of the Teilhard de Chardin Centre is to help actors in the scientific and technical world to reflect on the meaning of their profession (current, and future for students), the ethics of their research and work, the ecological consequences of human activity as well as spiritual questions linked to scientific and technological development.

The Centre is also a place of spiritual life, welcoming the activities of student Christian communities, and offering those who wish it a place of renewal and prayer.

Its activities take the form of conferences, debate evenings, trainings, workshops, discussion meetings, etc. and are open to all: teachers and researchers, business professionals, students, the general public who are interested in scientific innovations, etc., whatever their religious and spiritual beliefs.""
https://centreteilharddechardin.fr/qui-sommes-nous/#section-wyswyg-3 ",,Teilhard de Chardin,"Gif-sur-Yvette, France",2023,present,Spirituality & Religion,Science & Technology,,Education & Training,Events & Retreats,,4-10,,,,,,,,,✅
atelier-gardens,Atelier Gardens,https://atelier-gardens.berlin/vision/,Catherine,"5. motto of soil, soul, society. Berlin event space for societal transformation",Regenerative Alternatives,,https://drive.google.com/file/d/16KdvNfJFfSBzIG30MR2JtaWJsN-weDMU/view?usp=drive_link,https://drive.google.com/file/d/15h9OY_ipIXRjh_UwXx9hmq_KTxN_XJYm/view?usp=drive_link,"""A home for societal transformation

Atelier Gardens is an iconic 6-acre film campus overlooking Berlin’s famous Tempelhof airport. Known as “UFA Studios Tempelhof” and later as “Berliner Union-Film” or “BUFA”, it has been home to the pioneers of film, and is steeped in more than 100 years of film and TV.

Rekindling the site’s pioneering and creative spirit, we are opening up the space, delivering a global home for the pioneers of profound societal change. The campus is welcoming activists, social entrepreneurs, documentary film makers, human rights lawyers, educators, growers, artists, etc. to tell the next chapter of its story, together.

The site’s motto “Celebrating Soul, Soil, Society” underlines the ambition for a holistic approach to regenerative life in the city, and the belief that human beings, in principle, are capable of making a helpful contribution to life on Earth.""
https://atelier-gardens.berlin/en/about/ ",,Satish Kumar,"Berlin, Germany",2022,present,"Environment, Food & Water",,,Events & Retreats,Community Spaces,,,,,,,,,,,✅
emergence-foundation,Emergence Foundation,https://emergencefoundation.org/,Catherine,3 - their charitable objectives are very aligned. not sure how active they still are - they had a 4-year funding programme from 2018-2021 but site shows 2023 event on front page.,Metacrisis,,https://drive.google.com/file/d/1HejkgOV53slsyvh4AQ5nlNM6ZS748piO/view?usp=drive_link,https://drive.google.com/file/d/1B_N1RTrUtOtv9b0C7gKQVntbIL0ybyzy/view?usp=drive_link,"""Emergence Foundation is a non-profit organisation focused on fostering personal, societal, and global transformation through highlighting unique expressions of the nexus of inner and outer change, something we call the X Factor. Our mission is to help create a more compassionate, equitable and sustainable world by supporting these innovative projects and change-makers in areas such as education, community building, arts, ecology and spiritual growth. We believe that transformative change begins with individuals and communities, and our work emphasises the importance of collaboration, creativity and consciousness in regenerating global culture.

Emergence Foundation is a UK-based educational charity and grant-giving organisation which has offered financial support to individual and group projects and initiatives that are aligned with its core mission and guiding principles.

Commencing its grant-giving function in the spring of 2018, the Foundation had a limited fund which it distributed over a four-year period, 2018-2021, through a series of grant-giving rounds—one in 2018, two in the years 2019 and 2020 and a final round in 2021.

The Foundation aims to support organisations, charities, social enterprises and projects that are engaged in and committed to the uplift of individuals, organisations and culture at large: projects that affect a shift in consciousness and perspective based on the fundamental unity of all life, providing a force of positive change in the world.""
https://emergencefoundation.org/about/emergence-foundation/ 

""The charitable objects of Emergence Foundation are to advance moral or spiritual welfare or improvement for the benefit of the public by promoting education concerning spiritual enlightenment and self-realisation.""
https://emergencefoundation.org/about/the-purpose-of-the-charity/ ",,,UK; Germany; Spain; Netherlands,1995,2021,Health & Wellbeing,Spirituality & Religion,Education & Learning,Funding,,,,,,,,,,,,✅
reconsider,Reconsider,https://www.reconsider.org/,Catherine,"3. healing and developing consciousness for societal transformation, with a focus on psychedelics. should territory be psychedelics or metacrisis? ",Psychedelics,,https://drive.google.com/file/d/1pNf3Z28YBYYtHTiEtXzBFJyC3CunozJL/view?usp=drive_link,https://drive.google.com/file/d/1iVCoIqtPGuXw5uvEZdTMC7gDiqQHDFPl/view?usp=drive_link,"""We are a pioneering non-profit organization dedicated to shifting human consciousness and promoting transformation.

Through our convenings, programs, partnerships, and media, we advance the emergence and integration of transformational medicines, including psychedelics, in service of addressing today’s most critical mental health and collective challenges.

Our Mission
To bridge the medical and mystical, the sacred and scientific, to address today’s mental health and collective challenges by advancing the integration of transformational medicines, including psychedelics.

Our Vision
A world in which we live in deeper connection to ourselves, each other, the natural world, and life itself.""
https://www.reconsider.org/about-us ",,,"New York, USA",2014,present,Health & Wellbeing,Spirituality & Religion,,Education & Training,Media & Publishing,Convening & Coordination,4-10,Stories of Transformation Youtube Playlist: https://www.youtube.com/playlist?list=PLLOa5l_UwvwrmGD7XZP0dtQvufL3B6UYD ,,,,,,,,✅
the-alembic,The Alembic,https://berkeleyalembic.org/,Catherine,3. Metamodernist kind of tone to their language,Metamodern,,https://drive.google.com/file/d/1TQ0EpyaJJrWUBo8Tp1Y5TnNw2cjrD0b4/view?usp=drive_link,https://drive.google.com/file/d/1p53-OYyY7dQxPnxrurLsmgurSEo7M3YB/view?usp=drive_link,"""The Alembic is a nonprofit bodymind center committed to experiments in transformation. Drawing from ancient traditions and contemporary protocols, the space offers a wide range of skillful means for exploring, integrating, and transforming our felt engagement with the world and the mystery of our own consciousness. Our classes, workshops, and special events are led by an array of teachers and facilitators: contemplative masters and scientists, fringe scholars and somatic wizards, imaginal artists and seasoned psychonauts. You can think of the Alembic as an awareness gym, or a metamodern mutation lab, or a transformational festival without the dust.

The Alembic is also a vibe. Against the rigid leanings and groupthink of many spiritual and wellness communities, the Alembic is fostering an organic and diverse community of open-minded and open-hearted practitioners committed to curiosity, discernment, mutual discovery, and play. When it comes to worldview, the old motto of the Esalen Institute comes to mind: “no one captures the flag.” It is a place where Vedic astrologers and neuro-hackers can break bread, where ecstatic dancers and heady dharmanauts can find common cause in the game of awakening. ""
https://berkeleyalembic.org/ ",,,"Berkeley, California, USA; Online",not found,present,Spirituality & Religion,Relations & Peace,,Events & Retreats,,,4-10,,,,,,,,,✅
learning-planet-institute,Learning Planet Institute,https://www.learningplanetinstitute.org/en/,Matthew; Catherine,,Alternative Education,,https://drive.google.com/file/d/1IgRbcqtFtlGv-qDk-y_hLTMC6maBKOu3/view?usp=drive_link,https://drive.google.com/file/d/1MJztvipW4pyHNqHtIv1zcI9uNKIknzZh/view?usp=drive_link,"""Since 2006, the Learning Planet Institute has been dedicated to reinventing learning for all ages (lifelong learning) through collective intelligence in order to build sustainable & inclusive learning societies able to rise to the complex challenges we face. 

The Institute’s mission is to explore, research and share new ways of learning and cooperating in order to respond to the needs of the youth and the planet. By encouraging and disseminating a culture, methods and tools for empowerment, it transforms organisations. Ultimately, it leads communities and supports “Learning Planetizens” to take care of themselves, others and the planet. 

To achieve its goals, the Learning Planet Institute creates research and educational programmes based on interdisciplinarity, diversity and initiative.""
https://www.learningplanetinstitute.org/en/who-are-we/ ",,,"Paris, France",2006,present,Education & Learning,,,Research,Education & Training,Consulting & Advisory,51-100,,,,,,,,,✅
nordic-bildung,Nordic Bildung,https://www.nordicbildung.org/,Catherine,2,Metacrisis,,https://drive.google.com/file/d/18is_nKM5Ddc_ipb93P0OzanBoYlcCp7X/view?usp=sharing,https://drive.google.com/file/d/1d_Klt5LTagDrsIjrE2tYlUHKWA3ZZpWB/view?usp=drive_link,"""Nordic Bildung is a thinking lab and a bildung lab; that is what we mean by future systems studies and humanistic futurism. We want to grasp the world in new ways that match its constantly rising complexity, and we want people to engage with new knowledge, with the world, and with their own life-situation in new and meaningful ways that match the 21st century.

The world is changing so rapidly that we can no longer rely solely on what we learned in school. We need to see and grasp dimensions of the world that were not available just 10 years ago, e.g. what goes on in cyber space. We also need to understand the underlying structures in human interaction, in history, and how eco-systems thrive.""
https://www.nordicbildung.org/about/ ",,The Nordic Secret by Lene Rachel Andersen; Folk-bildung,"Copenhagen, Denmark",2018,present,Education & Learning,Governance & Community,,Education & Training,Events & Retreats,Media & Publishing,1-3,,Learning Planet Institute,,,,,,,✅
